publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-25T16:11:56Z,@MrValentine_007,Hassan he spoke the same way to and about Imran khan of Pakistan but after he actually physically met him his entire tone changed remember he is surrounded by dirty Jews that manipulate brianwash and gossip to him about people they hate 24/7 he sadly falls for it and starts talking shit about them but once he meets them and realized he was fed a bunch of Jew lies then he is very nice to them ruminant an evil guy bro I promise you,0
2025-11-25T14:59:48Z,@seanredshaw4317,So am I. Cannot take Mamdani seriously anymore. Fuckin kid gloves,0
2025-11-25T13:54:50Z,@encoreac5948,"Only 380k views, Ethan did it, Hasan has finally fallen off.",0
2025-11-25T13:27:08Z,@PlacidSine,"Its clearly a Trump play he wants to get dem support to act like hes on the working peoples side, ignoring the past year where hes been doing the opposite",0
2025-11-25T13:46:26Z,@michaalien,you&#39;re making him out to be smarter than he is. he&#39;s simply super fucking gay for a charismatic man.,1
2025-11-25T13:17:32Z,@Srizan-k2p,Conservatives should support Palestine. Nick Fuentes supremacy,0
2025-11-25T13:46:45Z,@michaalien,stop glazing nazis,1
2025-11-25T13:15:44Z,@SmileyRN06,Yes. So crazy!!,0
2025-11-25T12:54:17Z,@SirCommoner,Hasan&#39;s Trump impression is getting better each time,2
2025-11-25T12:15:02Z,@directActionGaming-4u,Kinda sounds like conservatives are basically Grok. Just required by programming to glaze Trump at all times no matter what. Even if it was a piss drinking contest. I&#39;m sure they would for some reason claim that nobody can drink more piss than Donald Trump. So that&#39;s cool.,0
2025-11-25T10:09:04Z,@J.Lopez-g4l,Please let me know when Trump Makes America Great,0
2025-11-25T09:54:01Z,@KidDroskii,Hannity is so empty and vapid. How does anybody watch him? At least Ingram will push back sometimes. Hannity is a brown-noser to his core.,1
2025-11-25T09:10:06Z,@joemommabeefy,"I think Trump is secretly gay, or at best he&#39;s bi, and Mamdani and Mohammed bin Salman are his type.  He&#39;s absolutely swooning like a teen girl over them.  I haven&#39;t seen the guy so smitten before in my life.  He wants a strong olive-toned man with a beard to dom him and talk tough to him.",1
2025-11-25T13:47:24Z,@michaalien,that&#39;s what I&#39;ve been saying!!,1
2025-11-25T09:00:58Z,@timgil7830,Waiting to see trump revert to the democratic party (at peast try too) just so he can keep WINNING!,0
2025-11-25T07:50:47Z,@Alex-gz2xn,"This feels like a psyop. I just understood Trump, he is just trying to gain popularity points because he clearly sees where the wind is blowing, and who else to use to do so than Zohran? That&#39;s why he behaved the way he did, and the reason why those still supporting Israel are the most vocal ones when criticizing Trump for the way he behaved with Zohran, because if Trump improves his popularity like this then Israel is very seriously f.....d, so they have an invested interest not to allow maga to get too confortable with Zohran. Perhaps we should give Trump just what he was looking for with Zohran, perhaps we should all act like we finally have something to agree with Trump, and the one good side he has, and we lean towards the very thing these Israel first people are desperately trying to avoid.",0
2025-11-25T07:04:46Z,@leocortez6120,elmer fudd reincarnate,0
2025-11-25T06:02:10Z,@jackheinzel8803,"Its so funny to see fox news DESPERATE to divide people, but also instructive on how corporate media works",0
2025-11-25T06:13:05Z,@makawas3013,Its all fake they hate each other,1
2025-11-25T05:53:06Z,@commugoth,this whole thing has me feeling like I’m living in a different dimension. trump fawning over zohran is unreal 😭,0
2025-11-25T05:35:48Z,@tristampratorius1495,"But this meeting IS stupid. This is what Ferdinand Lasalle did, he supported collaboration with the German government. Bebel and Liebknecht were right be to uncompromising in their opposition to Bismarck, they were put on trial for treason in 1872 but it benefited the socialist movement in the long run. Zohran is legitimizing Trump and presidential control by failing to recognize their separate interests. The only path forward is for Zohran to have no association with this president..",0
